년도,월,일,자치구명,시간대구분,총생활인구수
2022,01,02,강동구,22,536474.0192
2022,01,02,종로구,23,194025.4042
2022,01,02,중구,23,147398.5255
2022,01,02,용산구,23,254361.2944
2022,01,02,성동구,23,323279.7491
2022,01,02,광진구,23,363944.4074
2022,01,02,동대문구,23,341701.782
2022,01,02,중랑구,23,383039.7892
2022,01,02,성북구,23,433295.67
2022,01,02,강북구,23,314329.3478
2022,01,02,도봉구,23,293243.9106
2022,01,02,노원구,23,535121.3311
2022,01,02,은평구,23,478851.7914
2022,01,02,서대문구,23,341010.4975
2022,01,02,마포구,23,403011.8711
2022,01,02,양천구,23,405734.6965
2022,01,02,강서구,23,555462.3934
2022,01,02,구로구,23,392829.4251
2022,01,02,금천구,23,207103.2487
2022,01,02,영등포구,23,410880.3206
2022,01,02,동작구,23,403957.1801
2022,01,02,관악구,23,501630.1859
2022,01,02,서초구,23,465934.8096
2022,01,02,강남구,23,634278.5442
2022,01,02,송파구,23,737437.2495
2022,01,02,강동구,23,538602.1306
2022,01,03,종로구,0,193594.6545
2022,01,03,중구,0,146824.68
2022,01,03,용산구,0,253466.6369
2022,01,03,성동구,0,322858.8487
2022,01,03,광진구,0,363716.6589
2022,01,03,동대문구,0,341606.9174
2022,01,03,중랑구,0,383713.7679
2022,01,03,성북구,0,433420.4706
2022,01,03,강북구,0,314706.5537
2022,01,03,도봉구,0,294505.9762
2022,01,03,노원구,0,534803.6088
2022,01,03,은평구,0,479063.2247
2022,01,03,서대문구,0,341292.8732
2022,01,03,마포구,0,401921.5701
2022,01,03,양천구,0,405603.1504
2022,01,03,강서구,0,556388.7645
2022,01,03,구로구,0,393033.2255
2022,01,03,금천구,0,207544.6407
2022,01,03,영등포구,0,410291.4437
2022,01,03,동작구,0,404664.548
2022,01,03,관악구,0,502125.4432
2022,01,03,서초구,0,464559.6672
2022,01,03,강남구,0,632614.152
2022,01,03,송파구,0,736596.4766
2022,01,03,강동구,0,539969.8534
2022,01,03,종로구,1,193034.6393
2022,01,03,중구,1,145993.5264
2022,01,03,용산구,1,253861.4994
2022,01,03,성동구,1,323281.1734
2022,01,03,광진구,1,364286.6578
2022,01,03,동대문구,1,341740.4643
2022,01,03,중랑구,1,383970.0596
2022,01,03,성북구,1,433383.269
2022,01,03,강북구,1,314856.8195
2022,01,03,도봉구,1,295429.039
2022,01,03,노원구,1,534949.5582
2022,01,03,은평구,1,479450.574
2022,01,03,서대문구,1,341192.2627
2022,01,03,마포구,1,403718.16
2022,01,03,양천구,1,402754.0359
2022,01,03,강서구,1,556624.2152
2022,01,03,구로구,1,392175.3811
2022,01,03,금천구,1,206280.4738
2022,01,03,영등포구,1,409741.6559
2022,01,03,동작구,1,403823.7941
2022,01,03,관악구,1,503729.361
2022,01,03,서초구,1,463463.2711
2022,01,03,강남구,1,631040.3114
2022,01,03,송파구,1,735868.4673
2022,01,03,강동구,1,540074.2823
2022,01,03,종로구,2,192988.2974
2022,01,03,중구,2,145524.5429
2022,01,03,용산구,2,254178.8331
2022,01,03,성동구,2,323408.5665
2022,01,03,광진구,2,364470.5993
2022,01,03,동대문구,2,341674.2243
2022,01,03,중랑구,2,384049.2246
2022,01,03,성북구,2,433952.4462
2022,01,03,강북구,2,314631.8156
2022,01,03,도봉구,2,295324.8419
2022,01,03,노원구,2,535210.7189
2022,01,03,은평구,2,479812.3177
2022,01,03,서대문구,2,340558.5532
2022,01,03,마포구,2,403918.2727
2022,01,03,양천구,2,401714.2198
2022,01,03,강서구,2,556841.9811
2022,01,03,구로구,2,392005.6529
2022,01,03,금천구,2,206137.2469
2022,01,03,영등포구,2,410510.5805
2022,01,03,동작구,2,403125.8808
2022,01,03,관악구,2,504042.1345
2022,01,03,서초구,2,463129.6898
2022,01,03,강남구,2,630728.3897
2022,01,03,송파구,2,735571.8245
2022,01,03,강동구,2,540177.7579
2022,01,03,종로구,3,192904.5123
2022,01,03,중구,3,145728.8897
2022,01,03,용산구,3,254551.2542
2022,01,03,성동구,3,323529.4252
2022,01,03,광진구,3,364505.6424
2022,01,03,동대문구,3,341782.8339
2022,01,03,중랑구,3,384201.2509
2022,01,03,성북구,3,434039.6214
2022,01,03,강북구,3,314270.445
2022,01,03,도봉구,3,295322.0755
2022,01,03,노원구,3,535198.2425
2022,01,03,은평구,3,479433.9593
2022,01,03,서대문구,3,340080.6411
2022,01,03,마포구,3,404795.7077
2022,01,03,양천구,3,401433.6094
2022,01,03,강서구,3,556872.7637
2022,01,03,구로구,3,391827.583
2022,01,03,금천구,3,205845.6485
2022,01,03,영등포구,3,411605.3594
2022,01,03,동작구,3,403235.9312
2022,01,03,관악구,3,504038.5701
2022,01,03,서초구,3,463059.1548
2022,01,03,강남구,3,630674.7572
2022,01,03,송파구,3,735511.6686
2022,01,03,강동구,3,540051.6434
2022,01,03,종로구,4,195120.3152
2022,01,03,중구,4,147358.0488
2022,01,03,용산구,4,256881.5153
2022,01,03,성동구,4,325621.7226
2022,01,03,광진구,4,364019.5217
2022,01,03,동대문구,4,341958.9752
2022,01,03,중랑구,4,383148.688
2022,01,03,성북구,4,434018.8501
2022,01,03,강북구,4,312719.2519
2022,01,03,도봉구,4,293503.0868
2022,01,03,노원구,4,533594.339
2022,01,03,은평구,4,477276.3677
2022,01,03,서대문구,4,340049.4077
2022,01,03,마포구,4,406450.0218
2022,01,03,양천구,4,400453.7311
2022,01,03,강서구,4,556781.2739
2022,01,03,구로구,4,391629.5067
2022,01,03,금천구,4,204438.0853
2022,01,03,영등포구,4,415213.6215
2022,01,03,동작구,4,402073.5914
2022,01,03,관악구,4,502861.0797
2022,01,03,서초구,4,467575.5529
2022,01,03,강남구,4,632603.2876
2022,01,03,송파구,4,736184.1241
2022,01,03,강동구,4,539176.4297
2022,01,03,종로구,5,198789.8993
2022,01,03,중구,5,151831.5077
2022,01,03,용산구,5,260633.885
2022,01,03,성동구,5,328682.4951
2022,01,03,광진구,5,363520.4561
2022,01,03,동대문구,5,341870.0292
2022,01,03,중랑구,5,379594.2124
2022,01,03,성북구,5,432108.3476
2022,01,03,강북구,5,308869.5132
2022,01,03,도봉구,5,291567.6227
2022,01,03,노원구,5,529793.2838
2022,01,03,은평구,5,473945.6971
2022,01,03,서대문구,5,340794.4275
2022,01,03,마포구,5,409150.9143
2022,01,03,양천구,5,399999.4203
2022,01,03,강서구,5,557942.106
2022,01,03,구로구,5,388125.4056
2022,01,03,금천구,5,203462.3999
2022,01,03,영등포구,5,416764.2901
2022,01,03,동작구,5,402525.5808
2022,01,03,관악구,5,499676.7799
2022,01,03,서초구,5,478340.3828
2022,01,03,강남구,5,643993.7635
2022,01,03,송파구,5,737452.4116
2022,01,03,강동구,5,537691.3612
2022,01,03,종로구,6,210198.6606
2022,01,03,중구,6,166462.9766
2022,01,03,용산구,6,268518.2875
2022,01,03,성동구,6,335130.8341
2022,01,03,광진구,6,360894.6479
2022,01,03,동대문구,6,342203.5211
2022,01,03,중랑구,6,371764.2472
2022,01,03,성북구,6,427146.5871
2022,01,03,강북구,6,301784.202
2022,01,03,도봉구,6,286722.6606
2022,01,03,노원구,6,520067.518
2022,01,03,은평구,6,465513.2693
2022,01,03,서대문구,6,341226.4717
2022,01,03,마포구,6,412442.8163
2022,01,03,양천구,6,394904.7794
2022,01,03,강서구,6,559132.9446
2022,01,03,구로구,6,385535.591
2022,01,03,금천구,6,207059.5107
2022,01,03,영등포구,6,425728.0994
2022,01,03,동작구,6,399250.8168
2022,01,03,관악구,6,491796.9626
2022,01,03,서초구,6,507757.2652
2022,01,03,강남구,6,671039.4726
2022,01,03,송파구,6,739644.021
2022,01,03,강동구,6,533309.9287
2022,01,03,종로구,22,207571.3118
2022,01,03,중구,22,179241.2307
2022,01,03,용산구,22,256202.1407
2022,01,03,성동구,22,336366.4313
2022,01,03,광진구,22,366569.369
2022,01,03,동대문구,22,339988.9292
2022,01,03,중랑구,22,373787.5956
2022,01,03,성북구,22,432409.645
2022,01,03,강북구,22,307107.8567
2022,01,03,도봉구,22,292163.7092
2022,01,03,노원구,22,522767.6934
2022,01,03,은평구,22,466975.1802
2022,01,03,서대문구,22,345577.7471
2022,01,03,마포구,22,414998.2
2022,01,03,양천구,22,401798.7641
2022,01,03,강서구,22,556708.6676
2022,01,03,구로구,22,393117.7884
2022,01,03,금천구,22,213165.9098
2022,01,03,영등포구,22,431556.929
2022,01,03,동작구,22,397488.835
2022,01,03,관악구,22,497903.6623
2022,01,03,서초구,22,500104.0981
2022,01,03,강남구,22,687164.1084
2022,01,03,송파구,22,737605.9716
2022,01,03,강동구,22,532259.229
2022,01,03,종로구,23,202256.4294
2022,01,03,중구,23,172783.6431
2022,01,03,용산구,23,254359.9298
2022,01,03,성동구,23,325439.8421
2022,01,03,광진구,23,363232.7726
2022,01,03,동대문구,23,341751.1407
2022,01,03,중랑구,23,378576.3797
2022,01,03,성북구,23,431129.3923
2022,01,03,강북구,23,310880.6657
2022,01,03,도봉구,23,290909.4094
2022,01,03,노원구,23,530218.0518
2022,01,03,은평구,23,475255.3042
2022,01,03,서대문구,23,344488.0464
2022,01,03,마포구,23,408360.2013
2022,01,03,양천구,23,403499.5853
2022,01,03,강서구,23,554751.1383
2022,01,03,구로구,23,391654.3817
2022,01,03,금천구,23,208323.6296
2022,01,03,영등포구,23,417446.7582
2022,01,03,동작구,23,403432.5158
2022,01,03,관악구,23,503692.2308
2022,01,03,서초구,23,475720.1993
2022,01,03,강남구,23,661112.4343
2022,01,03,송파구,23,739550.0781
2022,01,03,강동구,23,535589.3637
2022,01,04,종로구,0,201249.0937
2022,01,04,중구,0,171539.5037
2022,01,04,용산구,0,253768.0551
2022,01,04,성동구,0,324017.6942
2022,01,04,광진구,0,363469.964
2022,01,04,동대문구,0,342312.0983
2022,01,04,중랑구,0,379461.0625
2022,01,04,성북구,0,431153.5331
2022,01,04,강북구,0,311658.9549
2022,01,04,도봉구,0,291720.8019
2022,01,04,노원구,0,530671.6592
2022,01,04,은평구,0,476432.2381
2022,01,04,서대문구,0,343498.9004
2022,01,04,마포구,0,406341.7359
2022,01,04,양천구,0,403795.4304
2022,01,04,강서구,0,555404.2465
2022,01,04,구로구,0,392062.1726
2022,01,04,금천구,0,208926.4075
2022,01,04,영등포구,0,416122.2826
2022,01,04,동작구,0,404562.1711
2022,01,04,관악구,0,503846.4109
2022,01,04,서초구,0,472306.6461
2022,01,04,강남구,0,654782.5494
2022,01,04,송파구,0,738092.6247
2022,01,04,강동구,0,537337.4413
2022,01,04,종로구,1,200962.359
2022,01,04,중구,1,169833.589
2022,01,04,용산구,1,254075.1045
2022,01,04,성동구,1,323619.587
2022,01,04,광진구,1,363961.9094
2022,01,04,동대문구,1,342797.9928
2022,01,04,중랑구,1,380082.6971
2022,01,04,성북구,1,431403.8585
2022,01,04,강북구,1,312132.3513
2022,01,04,도봉구,1,292357.805
2022,01,04,노원구,1,531115.9718
2022,01,04,은평구,1,477140.0574
2022,01,04,서대문구,1,342714.3031
2022,01,04,마포구,1,407685.2659
2022,01,04,양천구,1,401397.8253
2022,01,04,강서구,1,555776.9852
2022,01,04,구로구,1,391328.3031
2022,01,04,금천구,1,207613.8752
2022,01,04,영등포구,1,415559.5679
2022,01,04,동작구,1,404144.2358
2022,01,04,관악구,1,505047.9891
2022,01,04,서초구,1,470913.112
2022,01,04,강남구,1,650924.6329
2022,01,04,송파구,1,737654.7269
2022,01,04,강동구,1,537690.6268
2022,01,04,종로구,2,200198.0818
2022,01,04,중구,2,167878.2525
2022,01,04,용산구,2,254560.0239
2022,01,04,성동구,2,323549.7282
2022,01,04,광진구,2,364579.1423
