사고발생_년도,사고발생_월일,사고발생_시간,행정동,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고세부유형,법규위반,큰도로형태,세부도로형태,가해운전자 상해정도,피해운전자 상해정도
2016년,10월25일,05시,하계동,중상사고,0,1,0,0,횡단중,보행자보호의무위반,교차로,교차로안,상해없음,
2016년,11월10일,01시,상계동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로안,상해없음,
2016년,11월12일,02시,하계동,경상사고,0,0,1,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,
2016년,12월1일,03시,월계동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,
2016년,12월4일,00시,공릉동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,
2016년,12월22일,04시,공릉동,중상사고,0,1,1,0,횡단중,안전운전불이행,단일로,횡단보도부근,상해없음,
2016년,12월26일,05시,하계동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,
2017년,1월1일,00시,상계동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,기타,상해없음,경상
2017년,1월11일,04시,상계동,부상신고사고,0,0,0,1,횡단중,안전운전불이행,단일로,기타,상해없음,부상신고
2017년,2월13일,01시,상계동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,교량,상해없음,경상
2017년,2월21일,00시,공릉동,경상사고,0,0,2,0,차도통행중,안전운전불이행,단일로,기타,상해없음,경상
2017년,2월25일,05시,월계동,경상사고,0,0,1,0,횡단중,기타,단일로,기타,상해없음,경상
2017년,3월1일,00시,하계동,경상사고,0,0,2,0,횡단중,보행자보호의무위반,교차로,교차로횡단보도내,상해없음,경상
2017년,3월8일,05시,상계동,경상사고,0,0,1,0,차도통행중,안전운전불이행,단일로,기타,상해없음,경상
2017년,3월29일,03시,상계동,중상사고,0,1,1,0,횡단중,신호위반,교차로,교차로횡단보도내,상해없음,중상
2017년,4월18일,04시,중계동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2017년,4월26일,00시,공릉동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,중상
2017년,5월1일,02시,하계동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2017년,5월9일,00시,상계동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2017년,5월11일,01시,상계동,경상사고,0,0,1,0,횡단중,보행자보호의무위반,교차로,교차로횡단보도내,상해없음,경상
2017년,5월13일,02시,상계동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로안,상해없음,중상
2017년,5월13일,02시,상계동,중상사고,0,1,0,0,차도통행중,안전운전불이행,단일로,기타,상해없음,중상
2017년,5월18일,00시,중계동,부상신고사고,0,0,0,1,횡단중,안전운전불이행,교차로,교차로부근,상해없음,부상신고
2017년,5월20일,00시,월계동,중상사고,0,1,3,0,횡단중,보행자보호의무위반,단일로,기타,경상,중상
2017년,6월10일,02시,상계동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,기타,상해없음,경상
