사고발생_년도,사고발생_월,사고발생_일,사고발생_시간,자치구명,행정동,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고세부유형,법규위반,큰도로형태,세부도로형태,가해운전자 상해정도,피해운전자 상해정도
2014년,2월,23일,02시,강북구,수유동,중상사고,0,2,0,0,횡단중,안전운전불이행,단일로,횡단보도상,중상,중상
2014년,2월,23일,23시,성북구,하월곡동,경상사고,0,0,1,0,횡단중,신호위반,단일로,횡단보도상,상해없음,경상
2014년,2월,24일,04시,강동구,길동,중상사고,0,1,0,0,차도통행중,안전운전불이행,교차로,교차로안,상해없음,중상
2014년,2월,24일,06시,구로구,구로동,경상사고,0,0,1,0,횡단중,보행자보호의무위반,단일로,횡단보도상,상해없음,경상
2014년,2월,24일,22시,구로구,신도림동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,중상
2014년,2월,24일,22시,서초구,서초동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2014년,2월,25일,00시,송파구,문정동,중상사고,0,1,0,0,횡단중,신호위반,교차로,교차로부근,기타불명,중상
2014년,2월,25일,23시,서초구,서초동,경상사고,0,0,1,0,횡단중,신호위반,교차로,교차로부근,상해없음,경상
2014년,2월,26일,00시,용산구,청파동1가,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,기타,상해없음,경상
2014년,2월,26일,05시,서초구,서초동,중상사고,0,1,0,0,횡단중,과속,단일로,기타,상해없음,중상
2014년,2월,26일,22시,은평구,불광동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로안,상해없음,중상
2014년,2월,26일,23시,송파구,잠실동,경상사고,0,0,1,0,차도통행중,안전운전불이행,단일로,기타,상해없음,경상
2014년,2월,27일,00시,강북구,미아동,경상사고,0,0,1,0,횡단중,보행자보호의무위반,단일로,횡단보도상,상해없음,경상
2014년,2월,27일,02시,은평구,응암동,경상사고,0,0,1,0,횡단중,보행자보호의무위반,교차로,교차로안,기타불명,경상
2014년,2월,27일,05시,동작구,대방동,중상사고,0,1,0,0,횡단중,보행자보호의무위반,교차로,교차로안,상해없음,중상
2014년,2월,27일,05시,강동구,천호동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2014년,2월,27일,06시,중랑구,망우동,중상사고,0,1,0,0,횡단중,신호위반,단일로,횡단보도상,상해없음,중상
2014년,2월,27일,22시,용산구,서계동,중상사고,0,1,0,0,횡단중,신호위반,단일로,횡단보도상,상해없음,중상
2014년,2월,27일,22시,구로구,신도림동,중상사고,0,1,0,0,횡단중,보행자보호의무위반,단일로,횡단보도상,상해없음,중상
2014년,2월,27일,22시,서초구,양재동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,횡단보도상,상해없음,경상
2014년,2월,27일,23시,구로구,구로동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,중상
2014년,2월,28일,22시,성동구,하왕십리동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,기타,상해없음,중상
2014년,2월,28일,22시,송파구,석촌동,중상사고,0,1,0,0,횡단중,신호위반,교차로,교차로안,상해없음,중상
2014년,2월,28일,23시,동작구,흑석동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로안,상해없음,중상
2014년,3월,1일,00시,종로구,창신동,부상신고사고,0,0,0,1,횡단중,보행자보호의무위반,단일로,횡단보도상,상해없음,부상신고
2014년,3월,1일,00시,강북구,번동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,횡단보도부근,상해없음,중상
2014년,3월,1일,00시,영등포구,도림동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,횡단보도상,상해없음,중상
2014년,3월,1일,01시,영등포구,영등포동,중상사고,0,1,0,0,횡단중,안전운전불이행,단일로,횡단보도상,상해없음,중상
2014년,3월,1일,02시,강남구,역삼동,경상사고,0,0,1,0,횡단중,보행자보호의무위반,단일로,기타,상해없음,경상
2014년,3월,1일,03시,광진구,화양동,경상사고,0,0,1,0,차도통행중,안전운전불이행,교차로,교차로부근,상해없음,경상
2014년,3월,1일,05시,중구,쌍림동,경상사고,0,0,1,0,횡단중,안전운전불이행,교차로,교차로부근,상해없음,경상
2014년,3월,1일,06시,강남구,논현동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,횡단보도상,상해없음,경상
2014년,3월,1일,22시,강동구,둔촌동,부상신고사고,0,0,0,1,횡단중,안전운전불이행,교차로,교차로안,상해없음,부상신고
2014년,3월,1일,23시,용산구,보광동,경상사고,0,0,1,0,횡단중,안전운전불이행,단일로,횡단보도부근,상해없음,경상
2014년,3월,2일,00시,구로구,가리봉동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로안,상해없음,중상
2014년,3월,2일,04시,성북구,장위동,경상사고,0,0,1,0,차도통행중,안전운전불이행,단일로,횡단보도상,상해없음,경상
2014년,3월,2일,05시,종로구,창신동,부상신고사고,0,0,0,1,횡단중,신호위반,단일로,기타,상해없음,부상신고
2014년,3월,2일,22시,서초구,잠원동,중상사고,0,1,0,0,차도통행중,안전운전불이행,단일로,기타,상해없음,중상
2014년,3월,2일,23시,성동구,송정동,경상사고,0,0,1,0,횡단중,보행자보호의무위반,단일로,횡단보도상,상해없음,경상
2014년,3월,3일,00시,금천구,독산동,중상사고,0,1,0,0,횡단중,안전운전불이행,교차로,교차로안,상해없음,중상
